//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
13	39	0	0	0	1	7	63
14	32	0	0	0	0	0	0
14	33	0	0	0	0	0	0
14	34	0	0	0	0	0	0
14	35	0	0	0	0	0	0
14	36	0	0	0	0	0	0
14	37	0	0	0	0	0	0
13	32	0	0	0	0	0	0
13	33	0	0	0	0	0	0
13	34	0	0	0	0	0	0
13	35	0	0	0	0	0	0
13	36	0	0	0	0	0	0
13	37	0	0	0	0	0	0
13	38	0	0	0	0	0	0
7	31	13	0	0	1	7	63
8	31	13	0	0	1	7	63
9	31	13	0	0	1	7	63
10	31	13	0	0	1	7	63
11	31	13	0	0	1	7	63
4	20	13	0	1	1	7	63
4	21	13	0	1	1	7	63
13	25	0	0	0	0	0	0
13	0	0	0	0	0	0	0
12	15	0	0	0	0	0	0
end

